time,tpt
0.349238,17872284.723182
0.351990,17860964.859845
0.354793,17535272.468852
0.357550,17832666.374003
0.361871,11374691.866003
0.365422,13842233.682318
0.368183,17802825.879873
0.370937,17846107.818782
0.373687,17871258.005380
0.376444,17827175.198639
0.379191,17892505.183701
0.381949,17822029.888304
0.384704,17842894.533363
0.387466,17796747.328696
0.391347,12665612.573259
0.395558,11671743.609179
0.398321,17791220.290505
0.401069,17885746.931527
0.403815,17895338.918102
0.406568,17857681.342552
0.409318,17872180.746390
0.412070,17858239.325549
0.414837,17768067.292506
0.417612,17711443.144617
0.420368,17835235.257682
0.425363,9839312.449217
0.428552,15416109.822219
0.431308,17828759.466269
0.434070,17795941.893817
0.436825,17845485.802252
0.439578,17854703.860092
0.442330,17856617.378595
0.445089,17814156.078276
0.447846,17833099.861659
0.450616,17740888.177758
0.454390,13022822.528275
0.458667,11493352.482685
0.461427,17807250.426052
0.464180,17854567.659156
0.466933,17853179.825238
0.469689,17838581.739842
0.472441,17858803.832202
0.475244,17533633.598711
0.478008,17780646.038821
0.480764,17836872.740997
0.483527,17792952.757017
0.487198,13388249.708072
0.491768,10754412.685271
0.494530,17796695.778680
0.497277,17891033.298900
0.500036,17815576.595888
0.502791,17845194.246929
0.505543,17860867.505009
0.508298,17836626.775697
0.511052,17847319.579656
0.513809,17828520.191474
0.516566,17832381.707006
0.520616,12135514.229824
0.524652,12176671.734499
0.527409,17828765.933244
0.530169,17811573.899261
0.532925,17835144.654736
0.535675,17871368.469353
0.538434,17813975.301376
0.541197,17789082.544137
0.543955,17826257.098932
0.546705,17872954.102740
0.549462,17823367.641769
0.553804,11320535.698657
0.557668,12721099.368837
0.560431,17789314.323127
0.563183,17863645.779954
0.565936,17850923.434458
0.568691,17844079.945486
0.571442,17862938.146597
0.574195,17858641.613992
0.576955,17805573.225565
0.579712,17828487.857535
0.582471,17813536.287035
0.586926,11033898.168111
0.590512,13705238.115686
0.593269,17826347.611602
0.596025,17836283.730161
0.598782,17826961.829005
0.601537,17841780.519093
0.604295,17825985.566435
0.607053,17815821.980966
0.609807,17851331.876714
0.612559,17859679.861460
0.615313,17846891.880557
0.619744,11091929.511005
0.623347,13644195.512394
0.626098,17867899.253141
0.628849,17864165.179561
0.631603,17845621.864663
