time,tpt
0.334248,11906613.315582
0.338089,12796800.799800
0.342409,11376031.872886
0.346712,11423769.025670
0.350663,12440630.991477
0.355150,10954981.427437
0.358875,13194813.562052
0.363361,10956837.390208
0.367858,10929630.055415
0.371583,13195472.432384
0.375761,11763053.167076
0.379887,11912422.175544
0.384035,11849477.499083
0.388059,12216472.553201
0.392620,10776454.131774
0.396981,11269907.544661
0.400747,13053919.123705
0.404998,11560816.002811
0.409064,12088601.539752
0.412917,12758812.956923
0.417297,11219745.583503
0.421411,11949183.878423
0.425115,13269125.795913
0.429047,12499532.717054
0.432755,13256274.763480
0.437084,11355560.833296
0.441055,12375977.731700
0.445242,11738833.873720
0.449364,11925211.224139
0.453049,13338217.934628
0.457570,10872209.948320
0.461268,13291102.786746
0.465701,11086910.624415
0.469878,11767733.779922
0.473930,12130210.225388
0.478435,10911917.215774
0.482857,11114885.018197
0.486739,12660519.974603
0.491039,11430676.408044
0.495500,11018117.845800
0.499441,12473005.859410
0.503771,11351018.801972
0.507673,12597191.773484
0.511995,11371975.964115
0.516348,11292472.557996
0.520425,12054217.492398
0.524807,11217612.601191
0.529077,11510012.366613
0.533046,12386150.956719
0.537384,11330256.270056
0.541353,12384846.402657
0.545645,11451696.890694
0.549569,12525655.525106
0.553849,11484506.594035
0.558273,11109654.495893
0.562923,10569770.224911
0.566694,13033859.342404
0.571246,10798624.071801
0.575622,11231492.784031
0.580088,11005375.733764
0.585068,9869722.950178
0.589619,10801319.839009
0.594406,10268132.543976
0.598870,11010464.107460
0.602628,13079548.091395
0.606960,11345186.628228
0.610729,13043107.906827
0.615125,11181531.545878
0.619360,11603840.467024
0.623401,12165219.481082
0.627924,10867644.987611
0.632179,11549759.579742
0.636255,12060331.099666
0.640042,12977247.573103
0.642804,17798816.019514
0.645520,18092745.196415
0.648225,18175854.498498
0.650945,18069943.829209
0.653656,18132512.097380
0.656356,18203480.334190
0.659061,18168873.827019
0.661765,18174456.591069
0.664465,18209401.448172
0.667171,18162341.446255
0.669876,18170411.935867
0.672574,18217507.071737
0.675272,18221201.200956
0.677979,18157148.435206
