time,tpt
0.203878,18196006.888658
0.206586,18149712.976646
0.209291,18171345.674804
0.211990,18211101.613812
0.214687,18224504.899467
0.217396,18144687.938833
0.220103,18161576.397636
0.222801,18217203.233820
0.225499,18217338.271643
0.228202,18179625.888509
0.230910,18153855.699894
0.233611,18200332.517468
0.236312,18195124.497341
0.239015,18182329.344605
0.241713,18219884.109201
0.244411,18218256.581935
0.247110,18208659.411901
0.249813,18187375.255963
0.252514,18194221.987128
0.255212,18219235.764739
0.257916,18179027.470851
0.260618,18189852.140838
0.263323,18170445.521935
0.266028,18169263.367080
0.268730,18190155.067075
0.271431,18198290.726136
0.274134,18187011.856783
0.276837,18187200.284175
0.279535,18216892.654425
0.282238,18181515.533189
0.284942,18175424.350232
0.287645,18190370.487427
0.290344,18210744.012929
0.293050,18159214.548948
0.295752,18193245.491109
0.298453,18198917.365837
0.301156,18183324.849360
0.303865,18143147.484683
0.306567,18189199.200818
0.309263,18230940.077357
0.311959,18236588.119578
0.314660,18194821.405568
0.317368,18149853.717762
0.320069,18200730.147292
0.322777,18150094.993326
0.325470,18248795.776996
0.328174,18179309.865286
0.330880,18166040.090061
0.333586,18163287.779764
0.336286,18206116.709979
0.338986,18198492.863260
0.341693,18162254.200613
0.344394,18197711.291267
0.347095,18196512.113053
0.349797,18192026.701774
0.352496,18207067.610852
0.355199,18184367.555673
0.357909,18137751.261288
0.360608,18215920.474343
0.363307,18210771.001185
0.366001,18243350.077684
0.368707,18163898.586378
0.371413,18165288.156640
0.374111,18212545.654567
0.376812,18200413.389923
0.379513,18195111.026381
0.382216,18186655.201338
0.384918,18194390.359105
0.387619,18197098.208501
0.390321,18191043.708912
0.393031,18131976.976462
0.395742,18131816.446345
0.398448,18165556.697145
0.401155,18160341.718279
0.403854,18210588.832010
0.406553,18207796.027639
0.409256,18184152.277477
0.411960,18180681.620208
0.414660,18202765.744937
0.417360,18204316.339996
0.420055,18236784.342011
0.422756,18201019.956245
0.425464,18150564.158618
0.428161,18223065.717895
0.430870,18140971.201873
0.433581,18136051.379575
0.436278,18221221.465394
0.438978,18206399.946661
0.441671,18250638.839195
0.444374,18187032.045246
0.447080,18163489.140043
0.449781,18194296.070414
0.452484,18186271.644113
0.455193,18146496.631867
0.457898,18164469.157136
0.460601,18189885.798811
0.463298,18222910.326909
0.466003,18170976.198284
0.468710,18156927.093761
0.471413,18185208.534972
0.474114,18194282.600681
0.476819,18170264.158644
0.479519,18208086.061657
0.482217,18214550.146711
0.484922,18172602.007372
0.487627,18172958.111834
0.490327,18200386.432358
0.493036,18144848.696946
0.495741,18173448.618190
0.498443,18190471.467473
0.501146,18185100.885281
0.503853,18157550.888021
0.506553,18204336.566894
0.509260,18157490.518962
0.511962,18188007.874365
0.514665,18188553.038290
0.517363,18215231.909564
0.520066,18182786.725145
0.522776,18140703.387763
0.525478,18190040.627089
0.528178,18206022.299710
0.530880,18187227.202693
0.533584,18180399.183154
0.536287,18184724.121397
0.538986,18208861.779432
0.541689,18183930.277176
0.544388,18210878.955009
0.547088,18204983.851373
0.549785,18224613.016182
0.552489,18178664.405182
0.555183,18243824.076562
0.557888,18171775.630034
0.560589,18197131.893295
0.563299,18139237.245664
0.566001,18191286.080846
0.568703,18186036.134535
0.571406,18188236.704625
0.574108,18190303.168019
0.576815,18157222.216886
0.579516,18193602.405085
0.582214,18220667.586992
0.584916,18192881.857308
0.587615,18209340.733842
0.590315,18204356.793838
0.593021,18164683.969533
0.595726,18169612.624095
0.598430,18181468.455419
0.601130,18202273.654772
0.603829,18207742.068841
0.606535,18169854.425279
0.609239,18177003.900778
0.611940,18195407.392106
0.614646,18162193.800274
0.617346,18206008.812609
0.620052,18166966.665065
0.622760,18148701.045271
0.625462,18188054.986007
0.628173,18134780.022816
0.630873,18202159.062251
0.633576,18183392.117127
0.636278,18192269.099902
0.638982,18179222.456547
0.641687,18168779.802610
0.644388,18197340.741799
0.647084,18229236.205684
0.649786,18195986.680265
0.652490,18176210.730443
0.655195,18168027.642370
0.657896,18201983.805893
0.660607,18130124.364273
0.663304,18218985.894297
0.666009,18175478.117652
0.668710,18194019.944869
0.671418,18149766.592052
0.674116,18219607.206442
0.676813,18224484.627726
0.679517,18181905.615520
0.682217,18201667.004887
0.684918,18199422.751870
0.687625,18152776.264595
0.690331,18166066.945978
0.693036,18168638.767821
0.695739,18186749.410851
0.698445,18165301.583477
0.701140,18237555.740088
0.703844,18176546.811117
0.706545,18196242.656551
0.709244,18214975.398740
0.711945,18195555.578590
0.714642,18224085.959312
0.717343,18197307.056232
0.720043,18208038.846187
0.722746,18179531.752783
0.725446,18206184.146485
0.728150,18177198.843067
0.730851,18196734.420675
0.733556,18172890.921245
0.736251,18235735.615966
0.738952,18202725.298166
0.741653,18192686.578489
0.744352,18211607.676797
0.747053,18201801.812478
0.749758,18166879.374981
0.752456,18222741.426670
0.755159,18184300.280689
0.757861,18185834.274037
0.760564,18187624.260082
0.763267,18186096.693558
0.765967,18200757.105875
0.768670,18182248.632780
0.771373,18186910.915144
0.774079,18163838.175102
0.776780,18201094.094902
0.779482,18189037.655882
0.782184,18191124.498839
0.784888,18173220.159881
0.787590,18192403.768321
0.790293,18185861.188511
0.792992,18209563.355032
0.795693,18199550.787455
0.798396,18186372.578656
0.801096,18199261.025286
0.803799,18189367.479844
0.806506,18157738.705441
0.809212,18159724.441551
0.811911,18214415.150219
0.814613,18187449.283503
0.817316,18187812.700164
0.820013,18220627.060626
0.822713,18206716.912444
0.825415,18191097.568784
0.828120,18174335.628420
0.830822,18190094.481021
0.833530,18148895.380953
0.836227,18223545.419829
0.838929,18194067.087661
0.841635,18161576.397636
0.844338,18187146.447379
0.847038,18200393.171742
0.849740,18195050.407308
0.852437,18221707.825414
0.855137,18206211.121227
0.857839,18190451.271374
0.860540,18197347.478928
0.863240,18206568.544108
0.865948,18147133.109620
0.868652,18177514.792899
0.871353,18195535.371200
0.874059,18166510.080062
0.876760,18195434.334924
0.879461,18202792.709550
0.882161,18201532.199293
0.884865,18175773.844147
0.887570,18175363.862265
0.890267,18223829.199059
0.892969,18191528.459238
0.895673,18173065.617811
0.898381,18153600.914771
0.901085,18180163.825646
0.903789,18176345.161221
0.906495,18164193.936178
0.909202,18158208.265989
