src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate,prediction,output
1,1,0,0,1,1,0,0,235,0.0,0.0,1,0.0,0,0,0,0,-2.2742455
1,1,0,0,1,1,0,0,6,0.0,0.0,1,0.0,0,0,0,0,-0.23284443
1,1,0,0,1,1,0,0,2,0.0,0.0,0,0.0,0,0,0,0,-0.17041558
1,1,0,0,1,1,0,0,29,0.0,0.0,0,0.0,0,0,0,0,-0.23350616
1,1,0,0,1,1,0,0,16,0.0,0.0,7,0.0,0,0,0,0,-2.2844846
1,1,0,0,1,0,0,0,319,0.0,0.0,0,0.0,0,0,0,0,-2.7411785
1,1,0,0,1,1,0,0,23,0.0,0.0,0,0.0,0,0,0,0,-0.17867342
1,1,0,0,1,1,0,0,5,0.0,0.0,0,0.0,0,0,0,0,-0.03820021
1,1,1,0,0,1,0,0,1591,0.0,0.0,0,0.0,1,0,0,0,-14.890515
1,1,0,0,1,0,0,0,157,0.0,0.0,0,0.0,0,0,0,0,-1.2606903
1,1,0,0,1,0,0,0,1269,0.0,0.0,0,0.0,0,0,0,0,-11.423013
0,1,0,0,1,0,0,0,-1,0.0,0.0,11,0.0,0,0,0,0,-6.029366
1,1,0,0,1,1,0,0,56,0.0,0.0,0,0.0,0,0,0,0,-0.48025343
1,1,0,0,1,1,1,1,35,0.0,0.0,2,0.0,0,0,0,0,-0.3398592
0,1,0,0,1,0,1,0,-2,0.0,0.0,8,-0.4613778705636743,0,0,0,0,-4.6052904
0,1,0,0,1,1,1,1,-1,0.0,0.0,0,0.0,0,0,0,0,-0.66663486
1,1,0,0,1,1,0,0,1579,0.0,0.0,0,0.0,1,0,0,0,-14.582487
1,1,0,0,1,1,0,0,0,0.0,0.0,2,0.0,0,0,0,0,-1.0554448
0,1,0,1,0,1,0,0,-1,0.0,0.0,1,0.0,0,0,0,0,-0.4791249
