src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate
1,1,0,0,1,1,0,0,999,0.0,0.0,13,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,6,0.0,0,0,0
1,1,0,0,1,1,1,1,4,0.0,0.0,3,0.0,0,0,0
1,1,1,0,0,1,1,1,327,0.0,0.0,5,0.0,0,0,0
1,1,1,0,0,1,1,1,327,0.0,0.0,2,0.0,0,0,0
1,1,1,0,0,1,1,1,327,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,1,1,327,0.0,0.0,25,0.0,0,0,0
1,1,1,0,0,1,0,0,1,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,1,1,327,0.0,0.0,20,0.0,0,0,0
1,1,1,0,0,1,1,1,343,0.0,0.0,21,0.0,1,0,1
1,1,0,0,1,1,0,0,11,0.0,0.0,2,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
0,1,0,0,1,1,1,1,0,0.0,0.0,5,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,6,0.0,0,0,1
1,1,0,0,1,1,1,1,3,0.0,0.0,14,0.0,0,0,1
0,1,0,0,1,1,1,1,0,0.0,0.0,2,0.0,0,0,0
0,1,0,0,1,1,1,1,0,0.0,0.0,12,0.0,0,0,0
1,1,0,0,1,1,0,0,1,0.0,0.0,13,0.0,0,0,1
1,1,0,0,1,0,0,0,196,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-1,0.0,0.0,15,0.0,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,0,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,0,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,0,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,0,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,1,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,0,-0.5346415354161288,0,0,0
1,1,0,0,1,0,1,0,13,0.0,0.0,1,-0.5346415354161288,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,2,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,31,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,31,0.0,0,0,0
1,1,0,0,1,0,0,0,2,0.0,0.0,0,0.0,0,0,0
