,gpu,cpu,gpu_data,ae_gpu,ae_cpu,ae_gpu_data
1,36,6,46,384,17,349
2,34,13,46,451,60,335
4,37,26,48,423,54,341
8,35,52,46,330,95,271
16,37,104,48,435,177,337
32,38,208,54,456,365,426
64,40,417,68,467,668,350
128,48,840,85,470,1451,331
256,48,1669,120,562,2090,357
512,54,3347,178,561,3565,481
1024,79,6684,311,1027,5384,734
