,gpu,cpu,gpu_data
8,2139,14871,2383
16,2631,31906,2865
32,3553,56003,3784
64,3414,103318,3646
128,3598,205208,3832
256,4036,401834,4272
512,4292,795233,4527
1024,3443,1583907,3701
