,gpu,cpu,gpu_data,ae_gpu,ae_cpu,ae_gpu_data
1,22,0,31,31,0,22
2,28,0,32,32,0,28
4,23,0,31,31,0,23
8,21,1,31,31,1,21
16,21,3,31,31,3,21
32,22,6,33,33,6,22
64,21,13,32,32,13,21
128,21,26,34,34,26,21
256,21,54,39,39,54,21
512,22,106,45,45,106,22
1024,22,211,57,57,211,22
