,gpu,cpu,gpu_data
1,22,0,31
2,28,0,32
4,23,0,31
8,21,1,31
16,21,3,31
32,22,6,33
64,21,13,32
128,21,26,34
256,21,54,39
512,22,106,45
1024,22,211,57
