ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
6114311595683,1590,3934,16,8,27,0,0,0,-6113070859945,0,0,1,0,0,0,0,40,0,0,0,0,2,0,0,0,4102728192,0,0,0
6114311638117,1590,18007,16,8,27,0,0,0,-6113070859945,0,0,1,0,0,0,0,40,0,0,0,0,2,0,0,1,4102728192,0,0,0
6114311665688,5878,3934,16,25,27,0,0,0,-6113070859945,0,0,1,0,0,0,0,40,0,0,0,0,2,0,0,0,2094236928,1,0,0
6114708037565,1733,1803,33,2,1,2,0,2,-6113467756115,0,0,1,1,1,1,0,193,2,0,0,0,1,0,0,1,2068015104,0,2,2
6114708057252,1733,355,33,2,1,2,0,2,-6111707934473,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,2068015104,0,2,2
6114708069473,0,1803,33,1,1,2,0,2,-6113467756115,1,0,0,1,1,1,0,193,0,0,0,0,1,0,0,1,2608927744,0,2,2
6114708088136,0,355,33,1,1,2,0,2,-6111707934473,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2608927744,0,2,2
6115808285090,18979,18990,23,22,3,0,0,0,-6114567979261,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3074575104,0,0,0
6115808309631,18979,35480,23,22,3,0,0,0,-6114567979261,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3074575104,0,0,0
6115809158822,35394,18979,23,0,6,0,0,0,-6114568799206,0,0,1,0,0,1,6,6,0,0,0,0,2,0,0,0,4251128320,1,0,0
6115811195022,18979,18990,23,22,8,0,0,0,-6114570900619,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3074575104,0,0,0
6115811207518,18979,35480,23,22,8,0,0,0,-6114570900619,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3074575104,0,0,0
6115832453980,18979,18983,12,22,18,13,0,8,-6114592150067,0,0,1,1,1,1,0,38,0,0,0,0,1,0,0,0,3074575104,0,16,18
6115832465193,18979,84,12,22,18,13,0,8,-6114592150067,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3074575104,0,16,18
6115855219550,18979,18983,12,22,17,5,0,3,-6114614923534,0,0,1,1,1,1,0,38,0,0,0,0,1,0,0,0,3074575104,0,0,3
6115855235587,18979,84,12,22,17,5,0,3,-6114614923534,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3074575104,0,0,3
6118292041217,3949,3948,33,32,4,1,0,1,-6117051664949,0,0,1,1,0,0,0,40,1,0,0,0,1,0,1,1,3534232064,0,4,2
6118292056030,3949,355,33,32,4,1,0,1,-6113467853938,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3534232064,0,4,2
6118858517723,18960,18964,44,18,1,0,0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,88727040,1,0,0
6118858599521,18965,18970,12,39,7,5,0,4,-6117618091700,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1728527360,0,13,8
6118858614482,18965,18937,12,39,7,5,0,4,-6117618230303,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1728527360,0,13,8
6118858532333,18949,18943,43,45,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4263257856,1,1,1
6118858626538,18945,18970,12,16,7,5,0,4,-6117618091700,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1268971776,0,13,8
