0,0,1.860,6577,0,4096,1892286464,2.019,1
0,1,1.860,10711,0,4096,1892286464,2.159,1
1,0,1.904,9767,0,8192,1892286464,8.764,1
2,0,1.915,1103,0,4096,739442688,19.595,1
1,1,1.904,12167,0,8192,1892286464,13.613,1
2,1,1.915,1897,0,4096,739442688,26.017,1
0,2,1.860,29754,0,4096,1892286464,2.038,1
3,1,1.953,11614,0,12288,1892290560,28.503,1
4,1,1.963,5276,0,8192,739442688,40.500,1
1,2,1.904,15935,0,8192,1892286464,32.053,1
2,2,1.915,3194,0,4096,739442688,48.140,1
3,0,1.953,32995,0,12288,1892290560,20.765,1
5,1,1.999,12023,0,12288,1892298752,46.384,1
4,0,1.963,12734,0,8192,739442688,54.284,1
5,0,1.999,2391,0,12288,1892298752,67.551,1
6,0,2.017,2163,0,12288,739446784,70.070,1
7,0,2.053,5518,0,12288,1892306944,72.428,1
3,2,1.953,35052,0,12288,1892290560,51.896,1
8,0,2.063,10445,0,8192,739454976,78.195,1
6,1,2.017,31496,0,12288,739446784,58.696,1
9,0,2.106,13649,0,12288,1892315136,88.728,1
4,2,1.963,33691,0,8192,739442688,87.971,1
7,1,2.053,43142,0,12288,1892306944,90.511,1
8,1,2.063,78256,0,8192,739454976,133.987,1
5,2,1.999,93605,0,12288,1892298752,121.820,1
6,2,2.017,120846,0,12288,739446784,215.588,1
9,1,2.106,134236,0,12288,1892315136,212.402,1
7,2,2.053,1368566,0,12288,1892306944,336.897,1
8,2,2.063,78423,0,8192,739454976,1705.683,1
9,2,2.106,132518,0,12288,1892315136,1784.180,1
